week number,average,std,Label
1,0.5,0.869741341,0
2,0.156,0.323001548,0
3,0.1375,0.491010862,0
4,-0.016,0.536078352,1
5,-0.012,0.52803409,1
6,-0.152,0.472831894,1
7,0.245,0.577840809,0
8,-0.672,0.834188228,1
9,0.292,0.746438209,0
10,0.058,0.445555833,0
11,-0.33,0.368306937,1
12,0.284,0.246840029,0
13,-0.228,0.529688588,1
14,0,0.31136795,1
15,-0.2925,0.557157967,1
16,0.24,0.297153159,0
17,0.068,0.181300855,0
18,0.058,0.229934773,0
19,-0.306,0.587690395,1
20,-0.176,0.245519857,1
21,-0.1575,0.140089257,1
22,0.224,0.465274113,0
23,-0.102,0.299449495,1
24,0.16,0.241971073,0
25,0.174,0.336645214,0
26,0.0925,0.13671747,0
27,-0.026,0.208997608,1
28,-0.234,0.231149302,1
29,-0.06,0.16263456,1
30,-0.222,0.279051966,1
31,-0.2,0.15411035,1
32,0.13,0.058309519,0
33,-0.058,0.199924986,1
34,-0.208,0.350385502,1
35,0.0375,0.52442826,0
36,0.078,0.334394976,0
37,0.086,0.181190507,0
38,-0.182,0.437515714,1
39,-0.092,0.319092463,1
40,-0.07,0.177623197,1
41,0.02,0.168522995,0
42,0.222,0.431300359,0
43,0.182,0.187936159,0
44,-0.054,0.293052896,1
45,0.066,0.358371316,0
46,-0.094,0.739209037,1
47,0.2025,0.208706333,0
48,0.026,0.321605348,0
49,0.122,0.244887729,0
50,-0.074,0.18622567,1
51,0.06,0.244267613,0
52,0.16,0.127279221,0
